id,year_reported_to_cdp, account_number, organization, city, country, cdp_region, reporting_authority, access, climate_hazard, adaptation_action, action_title, status_of_action, co_benefit_area, action_description_and_implementation_progress, finance_status, total_cost_of_project, total_cost_provided_by_the_local_government, primary_source_fund, web_link, population, population_year, city_location, last_update,,,,,,,,,,,,,,,
14,2019,36045,Santiago de Guayaquil,Santiago de Guayaquil,Ecuador,Latin America,"CDP Cities, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Flood mapping,,Implementation complete but not in operation,,"Dentro del Plan de Manejo de las aguas lluvia de la cuenca noreste de Guayaquil se contempló una fase de modelación del drenaje de la cuenca, cuyo producto fue un mapa de Simulacro de inundaciones en un modelo de 100 años.",,,,,,2440553,2010,POINT (-79.9223 -2.17099),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
15,2018,42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Air-borne disease,Air quality initiatives,,Implementation,,Plan de de Calidad de Aire con enfoque en las reducción de contaminantes,,,,,,2239191,2010,POINT (-78.5167 -0.2333),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
16,2019,58597,Municipalidad de La Unión,La Unión,Costa Rica,Latin America,"CDP Cities, Global Covenant of Mayors",public,Extreme hot temperature > Extreme hot days,Community engagement/education,Escuela Municipal del Agua y el Ambiente,Operation,Enhanced climate change adaptation,"La Municipalidad desarrolla desde el 2012, un programa educativo orientado a la capacitación sobre el cambio climático y sus consecuencias, estas capacitaciones se dirigen tanto a centros educativos como a grupos organizados.",Finance secured,0,0,Local,,108990,2017,POINT (-83.9833 9.91667),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
17,2019,54111,City of Iowa City,Iowa City,United States of America,North America,"CDP Cities, Global Covenant of Mayors",public,Flood and sea level rise > River flood,Flood mapping,,Implementation complete but not in operation,,"The Flood Center at the University of Iowa has created new, more accurate flood maps for our region.",,,,,,76290,2018,POINT (-91.5302 41.6611),2019-11-29T08:56:56.313,46,,,,,,,,,,,,,,
18,2019,68296,Hobsons Bay City Council,,Australia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,,,,,,,,,,,,96470,2018,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
19,2018,50220,Métropole Nice Côte d'Azur,Nice,France,Europe,CDP Cities,public,,,,,,,,,,,,560000,2016,POINT (7.26195 43.7102),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
20,2018,70017,Alcaldia de Palmira,Palmira,Colombia,Latin America,CDP Cities,public,Vector-borne disease,No action currently taken,,,,,,,,,,308671,2017,POINT (-76.3036 3.53944),2019-11-29T08:49:03.203,146,,,,,,,,,,,,,,
21,2019,826429,Município de Figueira da Foz,Figueira da Foz,Portugal,Europe,CDP Cities,public,Flood and sea level rise > Flash / surface flood,Incorporating climate change into long-term planning documents,Introduzir o recuo progressivo nas zonas costeiras considerando critérios como a baixa cota altimétrica para justificar e definir áreas non aedificandi,Operation,"Disaster Risk Reduction, Enhanced climate change adaptation",,,,,,,62125,2011,POINT (-8.8576 40.1521),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
22,2018,59642,"City of Dublin, CA","Dublin, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Landslide,Landslide risk mapping,,Complete,,,,,,,,63241,2017,POINT (-121.93 37.7),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
23,2019,840309,Markaryds Kommun,,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Water Scarcity > Drought,,Risk- och sårbarhetsanalys,,,,,,,,,10260,2018,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
24,2018,31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Extreme hot days,Community engagement/education,,Operation,,"Warning about the danger and health impacts of extreme hot days are given via Rio Operations Center and its Meteorology Office (Alerta Rio). Smartphone app and registered SMS users receive these alerts, as also they are spread with the help of local media.",,,,,,6520266,2017,POINT (-43.5614 -22.9054),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
25,2019,36470,Comune della Spezia,La Spezia,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,,,,,,,,,,,,93787,2017,POINT (9.83632 44.111),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
26,2019,73684,Carlos Tejedor,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
27,2018,36279,Comune di Cremona,Cremona,Italy,Europe,CDP Cities,public,,,,,,,,,,,,,,POINT (10.023 45.1405),2019-11-29T08:49:03.203,50,,,,,,,,,,,,,,
28,2018,54497,City of Wroclaw,Wroclaw,Poland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Heat wave,Crisis management including warning and evacuation systems,,Complete,,,,,,,,638600,2017,POINT (17.0385 51.1079),2019-11-29T08:49:03.203,29,,,,,,,,,,,,,,
29,2019,59168,Commune de Dioudoubou,Dioudoubou,Senegal,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Water Scarcity > Drought,Flood mapping,Recherche d'information sur les zones habitables,Implementation,"Enhanced climate change adaptation, Enhanced resilience, Greening the economy, Improved resource efficiency (e.g. food, water, energy)",La mesure est prise avec l'implication  des services techniques et elle est bien avancée en sens que des puits locaux sont en cours de réalisation.,Pre-feasibility study status,9383,9393,Local,,7050,2017,POINT (-15.4789 12.7095),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
30,2018,31181,City of Philadelphia,Philadelphia,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Extreme hot days,Crisis management including warning and evacuation systems,,Operation,,,,,,,,1559938,2016,POINT (-75.1638 39.9523),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
31,2019,74423,"City of Key West, FL",Key West,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Flood and sea level rise > Permanent inundation,Incorporating climate change into long-term planning documents,,Implementation complete but not in operation,,,,,,,,24565,2018,POINT (24.5551 81.78),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
32,2018,59987,Hutt City Council,Hutt City,New Zealand,Southeast Asia and Oceania,CDP Cities,public,,Community engagement/education,,Scoping,,,,,,,,104700,2017,POINT (174.908 -41.2092),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
33,2018,60354,Prefeitura de São Sebastião,São Sebastião,Brazil,Latin America,CDP Cities,public,,,,,,,,,,,,73942,2010,POINT (-23.76 -45.41),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
34,2019,840309,Markaryds Kommun,,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Storm and wind > Severe wind,,Risk- och sårbarhetsanalys,,,,,,,,,10260,2018,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
35,2019,60387,Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,CDP Cities,public,,,,,,,,,,,,275207,2015,POINT (-75.3906 9.30457),2019-11-29T08:56:56.313,146,,,,,,,,,,,,,,
36,2019,43912,City of Edmonton,Edmonton,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,,Community engagement/education,The City of Edmonton in partnership with community stakeholders develops and implements a community scale and household climate change readiness program,Scoping,"Disaster preparedness, Social community and labour improvements","Develop and incorporate climate change resilience education and awareness materials into the Change for Climate marketing program. Develop and pilot community scale adaptation planning and engagement approach. Develop household climate resilience program. Develop education materials, such as a virtual climate resilience house.",Finance secured,,,Local,https://changeforclimate.ca/,980000,2018,POINT (-113.491 53.5444),2019-11-29T08:56:56.313,21,,,,,,,,,,,,,,
37,2019,58627,"City of Alton, IL",Alton,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,,,,,,,,,,,,26581,2015,POINT (-90.1843 38.8906),2019-11-29T08:56:56.313,46,,,,,,,,,,,,,,
38,2018,35858,City of Cape Town,Cape Town,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Rain storm,Crisis management including warning and evacuation systems,,Operation,,"The City of Cape Town has a disaster risk management department and management plan. At least once a year, the city experiences floods, with requirements for mass evacuations. The Cape Town's  systems 'cope' with these emergencies, but the capacity will need to be stepped up with a projected increase in intense rainfall events",,,,,,4174510,2017,POINT (18.4239 -33.9253),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
39,2019,31156,Municipality of Curitiba,Curitiba,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Incorporating climate change into long-term planning documents,,Monitoring and reporting,,"Since the revision of the Curitiba Master Plan in 2015, the concern with the impacts of climate change has also been incorporated into the sectorial and strategic plans of the municipality, including including as one of these strategic plans the Plan for Mitigation and Adaptation to Climate Change.",,,,,,1751907,2010,POINT (-49.2647 -25.4311),2019-11-29T08:56:56.313,213,,,,,,,,,,,,,,
40,2018,54060,City of Greater Sudbury / Grand Sudbury,Sudbury,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,Public preparedness (including practice exercises/drills),,Operation,,,,,,,,160000,2011,POINT (-80.9645 46.5268),2019-11-29T08:49:03.203,42,,,,,,,,,,,,,,
41,2019,74594,City of Boynton Beach,Boynton Beach,United States of America,North America,"CDP Cities, Global Covenant of Mayors",public,Storm and wind > Cyclone (Hurricane / Typhoon),Community engagement/education,,Implementation,,We distribute information via a variety of media to keep our citizens informed about hurricane risks and preparation.,Finance secured,,,Local,,76756,2018,POINT (-80.216 26.4986),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
42,2018,31167,City of Lagos,Lagos,Nigeria,Africa,"CDP Cities, C40",public,Coastal flood,Flood defences – development and operation & storage,,Implementation,,"The Great wall of Lagos is being built,  when completed it will be over 8km long. In the first quarter of 2013 the Great Wall of Lagos was passing the halfway construction stage at 3.5 kilometres in length and is growing at the rate of about 6 metres a day. In its completed form it will protect not only Eko Atlantic, but Victoria Island as well.",,,,,,24821418,2017,POINT (3.3792 6.52437),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
43,2019,840037,Tilisarao,,Argentina,Latin America,"CDP Cities, Global Covenant of Mayors",public,,,,,,,,,,,,6256,2010,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
44,2019,50550,City of Buffalo,"Buffalo, NY",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Extreme hot temperature > Heat wave,No action currently taken,,,,,,,,,,258612,2017,POINT (-78.8784 42.8864),2019-11-29T08:56:56.313,42,,,,,,,,,,,,,,
45,2018,59535,"Town of Vail, CO",Vail,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,Public preparedness (including practice exercises/drills),,Complete,,Community Evacuation plans and emergency response Plans.   Evacuation drills periodically take place on a neighborhood by neighborhood basis.,,,,,,5305,2010,POINT (-106.374 39.6403),2019-11-29T08:49:03.203,59,,,,,,,,,,,,,,
46,2019,49339,City and County of Honolulu,Honolulu,United States of America,North America,CDP Cities,public,Flood and sea level rise > Coastal flood,Flood mapping,"Develop Flood Maps that go beyond FEMA requirements and consider both rainfall and coastal surge flooding, concentrating on areas with critical infrastructure",,,,,,,,,992761,2016,POINT (157.59 21.28),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
47,2019,31179,Gemeente Rotterdam,Rotterdam,Netherlands,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Mass movement > Subsidence,Community engagement/education,,,,,,,,,,664373,2019,POINT (4.45093 51.9164),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
48,2018,50579,City of Winnipeg,Winnipeg,Canada,North America,CDP Cities,public,Land fire,No action currently taken,,Operation,,,,,,,,749500,2017,POINT (-97.1375 49.8997),2019-11-29T08:49:03.203,21,,,,,,,,,,,,,,
49,2019,60284,Prefeitura de Angra dos Reis,Angra dos Reis,Brazil,Latin America,CDP Cities,public,Flood and sea level rise > Flash / surface flood,Flood mapping,,Implementation complete but not in operation,,A Defesa Civil possui mapeamento de diversas áreas de inundação no município.,,,,,,169511,2010,POINT (-44.2442 -22.9983),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
50,2019,35870,City of Miami,Miami,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Extreme hot temperature > Extreme hot days,Projects and policies targeted at those most vulnerable,Miami Cools,Implementation,"Enhanced resilience, Improved public health, Social inclusion, social justice","Commissioner sponsored program to provide in-wall A/C units to housing establishments that lack cooling units, especially for Section 8 housing.",,,,,,470914,2018,POINT (-80.1918 25.7617),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
51,2019,74466,"Village of South Barrington, IL",South Barrington,United States of America,North America,CDP Cities,public,,,,,,,,,,,,4565,2010,POINT (42.0736 88.148),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
52,2018,74531,Santa Fe County,Santa Fe County,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Flash/surface flood,Storm water capture systems,,Implementation,,A little bit.,,,,,,149790,2017,POINT (-106 35.5),2019-11-29T08:49:03.203,90,,,,,,,,,,,,,,
53,2018,31179,Gemeente Rotterdam,Rotterdam,Netherlands,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Salt water intrusion,Additional reservoirs and wells for water storage,,Operation,,For all actions See: Rotterdam Climate Change Adaptation strategy,,,,,,638466,2017,POINT (4.45093 51.9164),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
54,2018,35857,City of Cincinnati,Cincinnati,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Flash/surface flood,Projects and policies targeted at those most vulnerable,,Scoping,,"We hope to create and expand wetland, decrease the acreage of mowed grass and replace with bushes and trees, and increase the amount of storm water holding capacity using green infrastructure and natural systems.",,,,,,298800,2016,POINT (-84.512 39.1031),2019-11-29T08:49:03.203,46,,,,,,,,,,,,,,
55,2019,834405,Municipality of Soldini,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Flood and sea level rise > Coastal flood,Flood defences – development and operation & storage,"Código de construcción para sector industrial: reservorios hídricos, manejo del agua",Pre-feasibility study,"Disaster preparedness, Disaster Risk Reduction, Enhanced climate change adaptation, Enhanced resilience, Greening the economy, Improved resource efficiency (e.g. food, water, energy), Promote circular economy, Resource conservation (e.g. soil, water), Shift to more sustainable behaviours, Social community and labour improvements","La localidad tiene presente en ejido urbano una cantidad significativa de industrias que conviven con las viviendas de los vecinos. Frente a esta problemática se intenta reordenar estos sectores industriales, para ello se propone la creación de un parque industrial según la Ley Pro. N° 11525; la cual determina los requisitos básicos para su creación y establece la creación de un reservorio hídrico.",Pre-feasibility study status,,,,,3212,2010,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
56,2018,54060,City of Greater Sudbury / Grand Sudbury,Sudbury,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,Flood mapping,,Complete,,,,,,,,160000,2011,POINT (-80.9645 46.5268),2019-11-29T08:49:03.203,42,,,,,,,,,,,,,,
57,2019,31052,City of Cardiff,Cardiff,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, Global Covenant of Mayors",public,Flood and sea level rise > River flood,Flood mapping,Local Flood Risk Management Strategy,Operation,Enhanced resilience,"Storm surge - Local Flood Risk Management Strategy adopted 2014, local flood defences plus Emergency Management Unit",Finance secured,,,,,365000,2018,POINT (-3.17909 51.4816),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
58,2019,50681,Município de Funchal,Funchal,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,,Incorporating climate change into long-term planning documents,SUMP,Pre-implementation,"Enhanced climate change adaptation, Greening the economy, Improved access to and quality of mobility services and infrastructure, Improved access to data for informed decision-making, Shift to more sustainable behaviours","The SUMP is geared at several intervention axis (freight logistic, road restriction policies, parking reorganization, electric mobility, public transport, etc).",Feasibility undertaken,,,,,111892,2011,POINT (-16.9241 32.6669),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
59,2019,43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Flood mapping,,,,Policies in the Unitary Plan in relation to flood mapping areas and levels.,,,,,,1614400,2016,POINT (174.742 -36.8153),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
60,2018,50572,"City of Saint Paul, MN",Saint Paul,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Hail,,,,,,,,,,,300398,2016,POINT (-93.09 44.9537),2019-11-29T08:49:03.203,46,,,,,,,,,,,,,,
61,2019,59669,City of North Vancouver,North Vancouver,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Storm and wind > Severe wind,Community engagement/education,,Operation,"Disaster preparedness, Enhanced resilience",Severe Wind: The City’s Emergency Management Office conducts outreach activities promoting personal emergency preparedness to increase the community’s resilience during storm events.,,,,,,52898,2016,POINT (-123.072 49.32),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
62,2019,74488,"City of Beverly, MA",,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Flood and sea level rise > Coastal flood,No action currently taken,Improvements to Beverly's aging drainage system,Pre-implementation,"Disaster preparedness, Disaster Risk Reduction, Improved public health",,Finance secured,500000,500000,Local,,41648,2019,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
63,2019,60410,Municipalidad de Peñalolén,Peñalolén,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Water Scarcity > Drought,Tree planting and/or creation of green space,Crece verde,Implementation complete but not in operation,"Ecosystem preservation and biodiversity improvement, Improved resource efficiency (e.g. food, water, energy)","Programa destinado a reforestar con especies nativas la zona urbana de la comuna, y con ello contar con especies mejor adaptadas a las condiciones hídricas de la región.",Finance secured,3500000,3500000,Local,,241599,2017,POINT (-70.5302 -33.454),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
64,2018,59669,City of North Vancouver,North Vancouver,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Permanent inundation,Other: Integrated Stormwater Management Plan,,Operation,,"Permanent Inundation: The City’s Integrated Stormwater Management Plan considers measures to protect the waterfront from inundation and erosion through land use and development decisions where possible, and through structural protection where required.",,,,,,52898,2016,POINT (-123.072 49.32),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
65,2019,62791,City of Botosani,Botosani,Romania,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,,,,,,,,,,,,106847,2011,POINT (26.6658 47.7407),2019-11-29T08:56:56.313,43,,,,,,,,,,,,,,
66,2019,50381,Municipio de Torreón,Torreón,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Mass movement > Vector-borne disease,Testing/vaccination programmes for vector-borne disease,,Implementation,,there is a program for vector control,,,,,,679288,2015,POINT (-103.407 25.5428),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
67,2019,59631,"City of San Leandro, CA",San Leandro,United States of America,North America,"CDP Cities, Global Covenant of Mayors",public,Flood and sea level rise > Coastal flood,Hazard resistant infrastructure design and construction,,Pre-implementation,,"Water Polllution Control Plant won a $539,000 grant for the design and permitting of a Treatment Wetlands for Nutrient Removal and Sea Level Rise from the San Francisco Bay Restoration Authority in May 2018. Design is currently underway with concept plans being prepared and set to launch community engagement in Fall 2018.",,,,,,90553,2019,POINT (-122.156 37.7249),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
68,2019,42388,Intendencia de Montevideo,Montevideo,Uruguay,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Storm and wind > Storm surge,Sea level rise modelling,NAP Ciudades/ NAP Costa,Pre-implementation,"Disaster Risk Reduction, Enhanced climate change adaptation, Enhanced resilience",,Pre-feasibility study status,,,,,1380432,2016,POINT (-58.2987 -34.7112),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
